Date,Open,High,Low,Close,Adj Close,Volume
2010-08-16,2161.310059,2193.840088,2155.659912,2181.870117,2181.870117,1627620000
2010-08-17,2197.090088,2225.080078,2193.419922,2209.439941,2209.439941,1736870000
2010-08-18,2205.300049,2228.899902,2196.110107,2215.699951,2215.699951,1654560000
2010-08-19,2204.800049,2211.729980,2168.739990,2178.949951,2178.949951,2094800000
2010-08-20,2172.260010,2182.669922,2159.540039,2179.760010,2179.760010,1898500000
2010-08-23,2188.340088,2200.520020,2159.439941,2159.629883,2159.629883,1665900000
2010-08-24,2131.000000,2144.199951,2113.709961,2123.760010,2123.760010,2141650000
2010-08-25,2109.149902,2148.350098,2102.260010,2141.540039,2141.540039,2019480000
2010-08-26,2148.489990,2154.320068,2116.820068,2118.689941,2118.689941,1804510000
2010-08-27,2134.159912,2154.989990,2099.290039,2153.629883,2153.629883,2134550000
2010-08-30,2145.760010,2154.469971,2119.929932,2119.969971,2119.969971,1585200000
2010-08-31,2109.760010,2128.899902,2101.520020,2114.030029,2114.030029,2084110000
2010-09-01,2142.750000,2177.500000,2141.949951,2176.840088,2176.840088,2133970000
2010-09-02,2178.989990,2200.010010,2173.709961,2200.010010,2200.010010,1680590000
2010-09-03,2227.959961,2235.570068,2213.560059,2233.750000,2233.750000,1647790000
2010-09-07,2227.260010,2231.280029,2206.620117,2208.889893,2208.889893,1685240000
2010-09-08,2216.070068,2237.419922,2215.899902,2228.870117,2228.870117,2018210000
2010-09-09,2251.090088,2251.979980,2229.800049,2236.199951,2236.199951,1706650000
2010-09-10,2239.080078,2246.600098,2229.120117,2242.479980,2242.479980,1692470000
2010-09-13,2263.800049,2289.489990,2263.689941,2285.709961,2285.709961,1937630000
2010-09-14,2281.310059,2302.570068,2274.570068,2289.770020,2289.770020,2079030000
2010-09-15,2283.169922,2304.600098,2276.320068,2301.320068,2301.320068,2067130000
2010-09-16,2297.510010,2304.949951,2288.709961,2303.250000,2303.250000,1809280000
2010-09-17,2318.419922,2320.370117,2301.820068,2315.610107,2315.610107,2432480000
2010-09-20,2322.800049,2358.899902,2317.889893,2355.830078,2355.830078,1989520000
2010-09-21,2355.270020,2366.760010,2341.820068,2349.350098,2349.350098,2125100000
2010-09-22,2339.909912,2355.909912,2323.550049,2334.550049,2334.550049,2170210000
2010-09-23,2316.709961,2353.790039,2316.110107,2327.080078,2327.080078,1923110000
2010-09-24,2356.260010,2381.219971,2353.500000,2381.219971,2381.219971,1993380000
2010-09-27,2379.729980,2386.010010,2368.649902,2369.770020,2369.770020,1873120000
2010-09-28,2373.129883,2383.669922,2339.500000,2379.590088,2379.590088,2125730000
2010-09-29,2372.370117,2382.149902,2366.189941,2376.560059,2376.560059,2077930000
2010-09-30,2390.959961,2400.060059,2354.219971,2368.620117,2368.620117,2418300000
2010-10-01,2386.820068,2389.449951,2359.320068,2370.750000,2370.750000,1932650000
2010-10-04,2362.250000,2370.870117,2332.459961,2344.520020,2344.520020,1901980000
2010-10-05,2368.520020,2402.419922,2366.060059,2399.830078,2399.830078,2203470000
2010-10-06,2395.159912,2399.129883,2368.429932,2380.659912,2380.659912,2103800000
2010-10-07,2391.629883,2392.739990,2368.250000,2383.669922,2383.669922,1846240000
2010-10-08,2384.760010,2406.669922,2370.530029,2401.909912,2401.909912,2000980000
2010-10-11,2403.459961,2413.030029,2397.570068,2402.330078,2402.330078,1539990000
2010-10-12,2397.699951,2421.790039,2379.389893,2417.919922,2417.919922,1960920000
2010-10-13,2432.550049,2452.540039,2426.520020,2441.229980,2441.229980,2294450000
2010-10-14,2441.209961,2445.850098,2422.070068,2435.379883,2435.379883,2014540000
2010-10-15,2461.699951,2468.770020,2438.030029,2468.770020,2468.770020,2232810000
2010-10-18,2470.120117,2480.949951,2462.550049,2480.659912,2480.659912,1724710000
2010-10-19,2442.209961,2462.939941,2422.139893,2436.949951,2436.949951,2241840000
2010-10-20,2443.199951,2469.719971,2441.070068,2457.389893,2457.389893,2016770000
2010-10-21,2470.719971,2482.139893,2436.340088,2459.669922,2459.669922,2135480000
2010-10-22,2461.600098,2479.389893,2459.429932,2479.389893,2479.389893,1648180000
2010-10-25,2491.620117,2507.030029,2490.110107,2490.850098,2490.850098,1746320000
2010-10-26,2476.510010,2503.030029,2470.120117,2497.290039,2497.290039,1914350000
2010-10-27,2484.090088,2505.350098,2478.010010,2503.260010,2503.260010,2013240000
2010-10-28,2516.159912,2516.199951,2489.760010,2507.370117,2507.370117,1998340000
2010-10-29,2505.989990,2517.500000,2505.860107,2507.409912,2507.409912,2068700000
2010-11-01,2520.449951,2532.370117,2491.459961,2504.840088,2504.840088,1904790000
2010-11-02,2525.939941,2534.879883,2518.290039,2533.520020,2533.520020,1914980000
